timePeriod/start/__text,readingQuality/__text,value/__text
1662796800,ACTUAL,0.1
1662798600,ACTUAL,0.08
1662800400,ACTUAL,0.05
1662802200,ACTUAL,0.08
1662804000,ACTUAL,0.41
1662805800,ACTUAL,0.17
1662807600,ACTUAL,0.06
1662809400,ACTUAL,0.22
1662811200,ACTUAL,0.07
1662813000,ACTUAL,0.05
1662814800,ACTUAL,0.09
1662816600,ACTUAL,0.09
1662818400,ACTUAL,0.88
1662820200,ACTUAL,0.11
1662822000,ACTUAL,0.08
1662823800,ACTUAL,0.05
1662825600,ACTUAL,0.04
1662827400,ACTUAL,1.71
1662829200,ACTUAL,0.72
1662831000,ACTUAL,0.52
1662832800,ACTUAL,0.26
1662834600,ACTUAL,0.48
1662836400,ACTUAL,0.41
1662838200,ACTUAL,0.93
1662840000,ACTUAL,0.12
1662841800,ACTUAL,0.11
1662843600,ACTUAL,1.67
1662845400,ACTUAL,1.56
1662847200,ACTUAL,1.28
1662849000,ACTUAL,1.61
1662850800,ACTUAL,0.72
1662852600,ACTUAL,0.66
1662854400,ACTUAL,0.6
1662856200,ACTUAL,0.26
1662858000,ACTUAL,0.24
1662859800,ACTUAL,0.19
1662861600,ACTUAL,0.33
1662863400,ACTUAL,1.15
1662865200,ACTUAL,0.6
1662867000,ACTUAL,0.16
1662868800,ACTUAL,0.11
1662870600,ACTUAL,0.11
1662872400,ACTUAL,0.09
1662874200,ACTUAL,0.05
1662876000,ACTUAL,0.05
1662877800,ACTUAL,0.09
1662879600,ACTUAL,0.06
1662881400,ACTUAL,0.04
1662883200,ACTUAL,0.07
1662885000,ACTUAL,0.64
1662886800,ACTUAL,0.04
1662888600,ACTUAL,0.05
1662890400,ACTUAL,0.55
1662892200,ACTUAL,0.19
1662894000,ACTUAL,0.06
1662895800,ACTUAL,0.5
1662897600,ACTUAL,0.51
1662899400,ACTUAL,1.25
1662901200,ACTUAL,0.33
1662903000,ACTUAL,0.16
1662904800,ACTUAL,0.12
1662906600,ACTUAL,0.16
1662908400,ACTUAL,0.23
1662910200,ACTUAL,0.17
1662912000,ACTUAL,0.44
1662913800,ACTUAL,0.6
1662915600,ACTUAL,0.83
1662917400,ACTUAL,0.71
1662919200,ACTUAL,0.24
1662921000,ACTUAL,0.23
1662922800,ACTUAL,0.04
1662924600,ACTUAL,0.26
1662926400,ACTUAL,0.35
1662928200,ACTUAL,0.15
1662930000,ACTUAL,0.05
1662931800,ACTUAL,0.07
1662933600,ACTUAL,0.05
1662935400,ACTUAL,0.02
1662937200,ACTUAL,0.96
1662939000,ACTUAL,0.38
1662940800,ACTUAL,1.21
1662942600,ACTUAL,0.51
1662944400,ACTUAL,0.21
1662946200,ACTUAL,0.32
1662948000,ACTUAL,1.47
1662949800,ACTUAL,0.1
1662951600,ACTUAL,0.08
1662953400,ACTUAL,0.04
1662955200,ACTUAL,0.07
1662957000,ACTUAL,0.09
1662958800,ACTUAL,0.09
1662960600,ACTUAL,0.04
1662962400,ACTUAL,0.04
1662964200,ACTUAL,0.09
1662966000,ACTUAL,0.62
1662967800,ACTUAL,0.06
1662969600,ACTUAL,0.04
1662971400,ACTUAL,0.08
1662973200,ACTUAL,0.09
1662975000,ACTUAL,0.07
1662976800,ACTUAL,0.54
1662978600,ACTUAL,0.64
1662980400,ACTUAL,0.55
1662982200,ACTUAL,0.07
1662984000,ACTUAL,1.29
1662985800,ACTUAL,0.44
1662987600,ACTUAL,0.67
1662989400,ACTUAL,0.2
1662991200,ACTUAL,0.08
1662993000,ACTUAL,0.15
1662994800,ACTUAL,0.13
1662996600,ACTUAL,0.14
1662998400,ACTUAL,0.12
1663000200,ACTUAL,0.08
1663002000,ACTUAL,0.07
1663003800,ACTUAL,0.04
1663005600,ACTUAL,0.02
1663007400,ACTUAL,0.05
1663009200,ACTUAL,0.07
1663011000,ACTUAL,0.05
1663012800,ACTUAL,0.02
1663014600,ACTUAL,0.04
1663016400,ACTUAL,0.07
1663018200,ACTUAL,0.05
1663020000,ACTUAL,0.07
1663021800,ACTUAL,0.11
1663023600,ACTUAL,0.16
1663025400,ACTUAL,0.98
1663027200,ACTUAL,0.31
1663029000,ACTUAL,0.04
1663030800,ACTUAL,0.07
1663032600,ACTUAL,0.06
1663034400,ACTUAL,0.02
1663036200,ACTUAL,0.63
1663038000,ACTUAL,0.15
1663039800,ACTUAL,0.08
1663041600,ACTUAL,0.04
1663043400,ACTUAL,0.06
1663045200,ACTUAL,0.09
1663047000,ACTUAL,0.08
1663048800,ACTUAL,0.04
1663050600,ACTUAL,0.05
1663052400,ACTUAL,0.09
1663054200,ACTUAL,0.08
1663056000,ACTUAL,0.04
1663057800,ACTUAL,0.05
1663059600,ACTUAL,0.1
1663061400,ACTUAL,0.1
1663063200,ACTUAL,0.52
1663065000,ACTUAL,0.64
1663066800,ACTUAL,0.61
1663068600,ACTUAL,0.15
1663070400,ACTUAL,0.84
1663072200,ACTUAL,0.09
1663074000,ACTUAL,0.08
1663075800,ACTUAL,0.06
1663077600,ACTUAL,0.04
1663079400,ACTUAL,0.06
1663081200,ACTUAL,0.08
1663083000,ACTUAL,0.06
1663084800,ACTUAL,0.04
1663086600,ACTUAL,0.06
1663088400,ACTUAL,0.08
1663090200,ACTUAL,0.06
1663092000,ACTUAL,0.04
1663093800,ACTUAL,0.07
1663095600,ACTUAL,0.08
1663097400,ACTUAL,0.05
1663099200,ACTUAL,0.04
1663101000,ACTUAL,0.08
1663102800,ACTUAL,0.08
1663104600,ACTUAL,0.16
1663106400,ACTUAL,0.76
1663108200,ACTUAL,1.02
