datetime,energy_used
2023-05-11,10.76
2023-05-12,20.71
2023-05-13,11.19
2023-05-14,4.96
2023-05-15,5.05
2023-05-16,11.49
2023-05-17,9.13
2023-05-18,11.97
2023-05-19,6.93
2023-05-20,10.15
2023-05-21,16.44
2023-05-22,12.73
2023-05-23,10.25
2023-05-24,15.21
2023-05-25,9.85
2023-05-26,3.79
2023-05-27,3.64
2023-05-28,3.67
2023-05-29,3.17
2023-05-30,7.42
2023-05-31,9.39
2023-06-01,6.92
2023-06-02,8.11
2023-06-03,13.129999999999999
2023-06-04,17.05
2023-06-05,10.58
2023-06-06,9.66
2023-06-07,8.23
2023-06-08,9.34
2023-06-09,9.56
2023-06-10,13.06
2023-06-11,15.190000000000001
2023-06-12,11.72
2023-06-13,11.83
2023-06-14,8.44
2023-06-15,10.5
2023-06-16,12.6
2023-06-17,15.8
2023-06-18,9.02
2023-06-19,8.21
2023-06-20,11.28
2023-06-21,5.19
2023-06-22,7.890000000000001
2023-06-23,4.52
2023-06-24,4.83
2023-06-25,4.96
2023-06-26,5.0600000000000005
2023-06-27,4.5600000000000005
2023-06-28,9.88
2023-06-29,10.34
2023-06-30,24.04
2023-07-01,7.02
2023-07-02,4.93
2023-07-03,5.49
2023-07-04,2.56
2023-07-05,3.34
2023-07-06,5.52
2023-07-07,5.5
2023-07-08,5.13
2023-07-09,3.98
2023-07-10,4.73
2023-07-11,3.37
2023-07-12,3.4
2023-07-13,5.3100000000000005
2023-07-14,5.23
2023-07-15,5.2
2023-07-16,4.97
2023-07-17,4.44
2023-07-18,3.24
2023-07-19,3.06
2023-07-20,5.390000000000001
2023-07-21,4.64
2023-07-22,5.02
2023-07-23,11.4
2023-07-24,10.59
2023-07-25,7.84
2023-07-26,8.81
2023-07-27,12.44
2023-07-28,19.9
2023-07-29,11.85
2023-07-30,14.15
2023-07-31,7.7700000000000005
2023-08-01,10.08
2023-08-02,7.74
2023-08-03,12.07
2023-08-04,10.3
2023-08-05,10.67
2023-08-06,15.82
2023-08-07,10.6
2023-08-08,3.6
2023-08-09,2.9
2023-08-10,6.53
2023-08-11,5.79
2023-08-12,6.87
2023-08-13,13.34
2023-08-14,12.19
2023-08-15,15.46
2023-08-16,15.56
2023-08-17,25.53
2023-08-18,11.85
2023-08-19,11.96
2023-08-20,16.11
2023-08-21,17.669999999999998
2023-08-22,11.47
2023-08-23,17.23
2023-08-24,14.11
2023-08-25,15.15
2023-08-26,14.59
2023-08-27,14.81
2023-08-28,10.33
2023-08-29,7.03
2023-08-30,10.91
2023-08-31,5.53
2023-09-01,4.95
2023-09-02,4.65
2023-09-03,3.77
2023-09-04,3.02
2023-09-05,9.19
2023-09-06,16.4
2023-09-07,13.13
2023-09-08,14.57
2023-09-09,17.6
2023-09-10,14.16
2023-09-11,14.98
2023-09-12,7.95
2023-09-13,15.18
2023-09-14,18.88
2023-09-15,11.66
2023-09-16,13.7
2023-09-17,17.66
2023-09-18,13.18
2023-09-19,6.96
2023-09-20,15.33
2023-09-21,12.28
2023-09-22,18.61
2023-09-23,13.5
2023-09-24,17.41
2023-09-25,11.11
